danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.728,0.741,6,-7.075,0,0.0473,0.000582,0.00206,0.33,0.31,123.006,audio_features,3KyKxJ4P3pVCgaZwaq2rUC,spotify:track:3KyKxJ4P3pVCgaZwaq2rUC,https://api.spotify.com/v1/tracks/3KyKxJ4P3pVCgaZwaq2rUC,https://api.spotify.com/v1/audio-analysis/3KyKxJ4P3pVCgaZwaq2rUC,212166,4
0.637,0.652,1,-5.237,0,0.0435,0.0664,0.177,0.0714,0.0725,115.923,audio_features,5OmX5lXxZ5sQgPuSHDn293,spotify:track:5OmX5lXxZ5sQgPuSHDn293,https://api.spotify.com/v1/tracks/5OmX5lXxZ5sQgPuSHDn293,https://api.spotify.com/v1/audio-analysis/5OmX5lXxZ5sQgPuSHDn293,306773,4
0.464,0.967,2,-3.501,1,0.136,0.000142,2.17e-05,0.269,0.669,174.92,audio_features,3jsNPTt6LUyB2srOcZaq47,spotify:track:3jsNPTt6LUyB2srOcZaq47,https://api.spotify.com/v1/tracks/3jsNPTt6LUyB2srOcZaq47,https://api.spotify.com/v1/audio-analysis/3jsNPTt6LUyB2srOcZaq47,178600,4
0.278,0.936,7,-5.986,1,0.107,0.000401,0.0,0.335,0.34,119.088,audio_features,1mWMGKUaL7EyYIIveqlKC0,spotify:track:1mWMGKUaL7EyYIIveqlKC0,https://api.spotify.com/v1/tracks/1mWMGKUaL7EyYIIveqlKC0,https://api.spotify.com/v1/audio-analysis/1mWMGKUaL7EyYIIveqlKC0,132547,4
0.569,0.721,7,-6.623,1,0.0453,0.182,0.0,0.104,0.751,108.198,audio_features,58zSuvHCLIipfXWSKpdlSk,spotify:track:58zSuvHCLIipfXWSKpdlSk,https://api.spotify.com/v1/tracks/58zSuvHCLIipfXWSKpdlSk,https://api.spotify.com/v1/audio-analysis/58zSuvHCLIipfXWSKpdlSk,115467,4
0.476,0.44,2,-6.031,1,0.032,0.801,0.00035,0.0955,0.391,163.717,audio_features,1DSHAYYPzPh5JusGnEN3Pm,spotify:track:1DSHAYYPzPh5JusGnEN3Pm,https://api.spotify.com/v1/tracks/1DSHAYYPzPh5JusGnEN3Pm,https://api.spotify.com/v1/audio-analysis/1DSHAYYPzPh5JusGnEN3Pm,216887,4
0.526,0.858,9,-8.533,1,0.0476,0.292,0.001,0.353,0.886,75.596,audio_features,0KogQrSowDnZoU8GSpaxkj,spotify:track:0KogQrSowDnZoU8GSpaxkj,https://api.spotify.com/v1/tracks/0KogQrSowDnZoU8GSpaxkj,https://api.spotify.com/v1/audio-analysis/0KogQrSowDnZoU8GSpaxkj,106400,4
0.565,0.951,2,-3.804,1,0.0393,0.0623,0.657,0.273,0.737,97.337,audio_features,1lJbKjGY6BqP7P7Dg5fdUY,spotify:track:1lJbKjGY6BqP7P7Dg5fdUY,https://api.spotify.com/v1/tracks/1lJbKjGY6BqP7P7Dg5fdUY,https://api.spotify.com/v1/audio-analysis/1lJbKjGY6BqP7P7Dg5fdUY,244600,4
0.801,0.663,11,-6.29,1,0.0485,0.181,0.000535,0.0945,0.552,96.991,audio_features,1L91NeuzKQfcCchDI8SVii,spotify:track:1L91NeuzKQfcCchDI8SVii,https://api.spotify.com/v1/tracks/1L91NeuzKQfcCchDI8SVii,https://api.spotify.com/v1/audio-analysis/1L91NeuzKQfcCchDI8SVii,258853,4
0.583,0.694,7,-9.204,1,0.033,0.221,8.87e-06,0.292,0.493,115.794,audio_features,5FRwiSwiwd2GYsrY6EmLlD,spotify:track:5FRwiSwiwd2GYsrY6EmLlD,https://api.spotify.com/v1/tracks/5FRwiSwiwd2GYsrY6EmLlD,https://api.spotify.com/v1/audio-analysis/5FRwiSwiwd2GYsrY6EmLlD,256933,4
0.581,0.802,5,-12.611,1,0.0433,0.198,0.0,0.134,0.518,124.808,audio_features,7CmjT5PmjIJwCIKkhPqtrI,spotify:track:7CmjT5PmjIJwCIKkhPqtrI,https://api.spotify.com/v1/tracks/7CmjT5PmjIJwCIKkhPqtrI,https://api.spotify.com/v1/audio-analysis/7CmjT5PmjIJwCIKkhPqtrI,206293,4
0.706,0.257,7,-16.154,1,0.029,0.265,3.17e-06,0.0674,0.388,101.685,audio_features,5E0TUUfpxgWQ4uMKeZyT2B,spotify:track:5E0TUUfpxgWQ4uMKeZyT2B,https://api.spotify.com/v1/tracks/5E0TUUfpxgWQ4uMKeZyT2B,https://api.spotify.com/v1/audio-analysis/5E0TUUfpxgWQ4uMKeZyT2B,248733,3
0.27,0.825,7,-10.256,1,0.0607,0.00985,0.308,0.118,0.273,106.147,audio_features,13nQ70PnhDnTkYqCmdg3sy,spotify:track:13nQ70PnhDnTkYqCmdg3sy,https://api.spotify.com/v1/tracks/13nQ70PnhDnTkYqCmdg3sy,https://api.spotify.com/v1/audio-analysis/13nQ70PnhDnTkYqCmdg3sy,253093,4
