track.artists,track.preview_url,track.name,track.popularity,track.id
The Weeknd,,Gasoline,66,3KyKxJ4P3pVCgaZwaq2rUC
The Weeknd,,Wanderlust,44,5OmX5lXxZ5sQgPuSHDn293
Fall Out Boy,https://p.scdn.co/mp3-preview/2f271a5a9fd370a0bbdbcdb12e26262d9df250f4?cid=24b59a67cc6e4409bac32d1f5907c5f9,Grenade Jumper,41,3jsNPTt6LUyB2srOcZaq47
My Chemical Romance,https://p.scdn.co/mp3-preview/311afbd44ed540284be4eaf79e6f9cbdd57328a5?cid=24b59a67cc6e4409bac32d1f5907c5f9,This Is the Best Day Ever,46,1mWMGKUaL7EyYIIveqlKC0
Panic! At The Disco,https://p.scdn.co/mp3-preview/cd0996c24fe22d16ceac736f6a371d33d22c2b98?cid=24b59a67cc6e4409bac32d1f5907c5f9,Folkin' Around,34,58zSuvHCLIipfXWSKpdlSk
Halsey,,Graveyard - Stripped,33,1DSHAYYPzPh5JusGnEN3Pm
The Beatles,,Little Child - Remastered 2009,41,0KogQrSowDnZoU8GSpaxkj
The Rolling Stones,,Pretty Beat Up - Remastered 2009,16,1lJbKjGY6BqP7P7Dg5fdUY
Adele,https://p.scdn.co/mp3-preview/e6d4e46e3aacaa7b1275bcd7e0768e35ec0e841d?cid=24b59a67cc6e4409bac32d1f5907c5f9,Tired,38,1L91NeuzKQfcCchDI8SVii
Bruce Springsteen,https://p.scdn.co/mp3-preview/e55208334813671e5fee3be4fefde0761834b677?cid=24b59a67cc6e4409bac32d1f5907c5f9,Souls of the Departed,23,5FRwiSwiwd2GYsrY6EmLlD
Bruce Springsteen,https://p.scdn.co/mp3-preview/9d0ec04f1fb774e1ddcae1624978506dea210fd3?cid=24b59a67cc6e4409bac32d1f5907c5f9,The Long Goodbye,22,7CmjT5PmjIJwCIKkhPqtrI
Elton John,,Memory Of Love,7,5E0TUUfpxgWQ4uMKeZyT2B
Radiohead,https://p.scdn.co/mp3-preview/0b1841ebbee3f8374a3565bfe3d6c4e46a6537b5?cid=24b59a67cc6e4409bac32d1f5907c5f9,I Can't,45,13nQ70PnhDnTkYqCmdg3sy
Bob Dylan,https://p.scdn.co/mp3-preview/65fa4b82e866aa822a38b4bf471a2f97857e77cf?cid=24b59a67cc6e4409bac32d1f5907c5f9,Driftin' Too Far from Shore,13,00GSm6iPrN4XOcG7FXrcZl
U2,,Is That All? - Remastered 2008,20,3sUoUvp1n3OduroVaiLVTh
Queen,,Keep Passing The Open Windows - Remastered 2011,32,4cKnOBKniYNOEaSd9O41Pk
Beyoncé,https://p.scdn.co/mp3-preview/02c972814c70d54cff90b038ac76482e49d01bcc?cid=24b59a67cc6e4409bac32d1f5907c5f9,Hip Hop Star (feat. Big Boi & Sleepy Brown),34,5cl6rJmigUbx6cNrA3nV8z
Miley Cyrus,https://p.scdn.co/mp3-preview/756be5fcb942adf88e68764ee20ac4123a80e963?cid=24b59a67cc6e4409bac32d1f5907c5f9,Evil is but a Shadow,26,3TanrPFtNzqB4jbOVMAI9v
Madonna,https://p.scdn.co/mp3-preview/2e9e8c3a391f7d4c93c54a42015d8d6ec22c9381?cid=24b59a67cc6e4409bac32d1f5907c5f9,In This Life,32,0Arh8PQzGKq14Ri1d25Fen
The Who,,Trilby's Piano,1,0h0yrOKNXrW1AKSfWT4JDB
Tones And I,https://p.scdn.co/mp3-preview/c88dc44580b8dd658245e850da9c62e594cca9fb?cid=24b59a67cc6e4409bac32d1f5907c5f9,Welcome to the Madhouse,33,2RJ7BMH1kSYXSqHGFeoz0X
Eminem,,Walk On Water (feat. Beyoncé),52,7CcoUAtUcYhUfBsmtn0ajO
Charlie Puth,https://p.scdn.co/mp3-preview/37b89ad9459098e8812e0861ab55ec8a27a43b16?cid=24b59a67cc6e4409bac32d1f5907c5f9,Girlfriend,51,1UNs8AlFM8c0uAkSyjIW3P
Chris Brown,https://p.scdn.co/mp3-preview/78bb75e7229f725649340c6e74dfd9aa307aa941?cid=24b59a67cc6e4409bac32d1f5907c5f9,Heartbreak on a Full Moon,41,6bSLDFKAqEIItAGrdoygwY
Brad Paisley,https://p.scdn.co/mp3-preview/cedd90469d6eab24427d4de8c2a4e37d3f872411?cid=24b59a67cc6e4409bac32d1f5907c5f9,Accidental Racist (feat. LL Cool J),24,23q6Nowh5GeqtY5jTDzKyQ
