danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.457,0.941,10,-2.692,0,0.0917,0.105,1.38e-06,0.437,0.876,165.783,audio_features,1hAloWiinXLPQUJxrJReb1,spotify:track:1hAloWiinXLPQUJxrJReb1,https://api.spotify.com/v1/tracks/1hAloWiinXLPQUJxrJReb1,https://api.spotify.com/v1/audio-analysis/1hAloWiinXLPQUJxrJReb1,211733,4
0.239,0.287,7,-12.565,0,0.0388,0.876,0.644,0.122,0.185,71.608,audio_features,39uLYYZytVUwcjgeYLI409,spotify:track:39uLYYZytVUwcjgeYLI409,https://api.spotify.com/v1/tracks/39uLYYZytVUwcjgeYLI409,https://api.spotify.com/v1/audio-analysis/39uLYYZytVUwcjgeYLI409,311107,3
0.6,0.76,6,-6.124,0,0.0452,0.166,4.09e-05,0.189,0.519,158.078,audio_features,0o9zmvc5f3EFApU52PPIyW,spotify:track:0o9zmvc5f3EFApU52PPIyW,https://api.spotify.com/v1/tracks/0o9zmvc5f3EFApU52PPIyW,https://api.spotify.com/v1/audio-analysis/0o9zmvc5f3EFApU52PPIyW,185573,4
0.853,0.822,6,-6.836,0,0.246,0.0841,0.00985,0.166,0.746,157.013,audio_features,0kdqcbwei4MDWFEX5f33yG,spotify:track:0kdqcbwei4MDWFEX5f33yG,https://api.spotify.com/v1/tracks/0kdqcbwei4MDWFEX5f33yG,https://api.spotify.com/v1/audio-analysis/0kdqcbwei4MDWFEX5f33yG,168136,4
0.538,0.869,8,-3.464,1,0.0275,0.047,0.0,0.14,0.369,91.972,audio_features,15HNdxGKNCIO9pgaY4n7FU,spotify:track:15HNdxGKNCIO9pgaY4n7FU,https://api.spotify.com/v1/tracks/15HNdxGKNCIO9pgaY4n7FU,https://api.spotify.com/v1/audio-analysis/15HNdxGKNCIO9pgaY4n7FU,326843,4
0.625,0.668,6,-4.315,1,0.0249,0.288,0.0,0.107,0.292,95.968,audio_features,4IouQaO9GkaHC7AtMErdSa,spotify:track:4IouQaO9GkaHC7AtMErdSa,https://api.spotify.com/v1/tracks/4IouQaO9GkaHC7AtMErdSa,https://api.spotify.com/v1/audio-analysis/4IouQaO9GkaHC7AtMErdSa,289578,4
0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067,audio_features,03UrZgTINDqvnUMbbIMhql,spotify:track:03UrZgTINDqvnUMbbIMhql,https://api.spotify.com/v1/tracks/03UrZgTINDqvnUMbbIMhql,https://api.spotify.com/v1/audio-analysis/03UrZgTINDqvnUMbbIMhql,219493,4
0.744,0.747,11,-4.281,0,0.0824,0.00691,2.03e-06,0.0739,0.368,120.077,audio_features,4sgMbwl9lXGyHcHmtFYGMm,spotify:track:4sgMbwl9lXGyHcHmtFYGMm,https://api.spotify.com/v1/tracks/4sgMbwl9lXGyHcHmtFYGMm,https://api.spotify.com/v1/audio-analysis/4sgMbwl9lXGyHcHmtFYGMm,178880,4
0.636,0.9,6,-3.568,1,0.0571,0.286,1.47e-06,0.0982,0.686,134.004,audio_features,37S86pw74OH8j96ZmMnrpR,spotify:track:37S86pw74OH8j96ZmMnrpR,https://api.spotify.com/v1/tracks/37S86pw74OH8j96ZmMnrpR,https://api.spotify.com/v1/audio-analysis/37S86pw74OH8j96ZmMnrpR,241839,4
0.806,0.707,7,-4.623,1,0.0307,0.331,0.0,0.294,0.746,118.009,audio_features,3d3ELsqKlQ7WA0a10Isu3l,spotify:track:3d3ELsqKlQ7WA0a10Isu3l,https://api.spotify.com/v1/tracks/3d3ELsqKlQ7WA0a10Isu3l,https://api.spotify.com/v1/audio-analysis/3d3ELsqKlQ7WA0a10Isu3l,209648,4
