track.artists,track.preview_url,track.name,track.popularity,track.id
YOASOBI,https://p.scdn.co/mp3-preview/f784b0420a1c76265f69912f43fd454164141e6e?cid=24b59a67cc6e4409bac32d1f5907c5f9,アイドル,73,1hAloWiinXLPQUJxrJReb1
Joe Hisaishi,,Merry-Go-Round of Life - from 'Howl's Moving Castle',66,39uLYYZytVUwcjgeYLI409
Fujii Kaze,,Shinunoga E-Wa,76,0o9zmvc5f3EFApU52PPIyW
Creepy Nuts,https://p.scdn.co/mp3-preview/1c5db91080b8b9b6ccef484b5da12f280d89b81f?cid=24b59a67cc6e4409bac32d1f5907c5f9,Bling-Bang-Bang-Born,83,0kdqcbwei4MDWFEX5f33yG
OFFICIAL HIGE DANDISM,https://p.scdn.co/mp3-preview/da47863123523107c979c50167778d55610bd613?cid=24b59a67cc6e4409bac32d1f5907c5f9,Pretender,56,15HNdxGKNCIO9pgaY4n7FU
Daoko,https://p.scdn.co/mp3-preview/a7f9fd2dd45bb43e024835cd1928fe1e395fb228?cid=24b59a67cc6e4409bac32d1f5907c5f9,打上花火,62,4IouQaO9GkaHC7AtMErdSa
PSY,,Gangnam Style (강남스타일),72,03UrZgTINDqvnUMbbIMhql
aespa,,Supernova,75,4sgMbwl9lXGyHcHmtFYGMm
IU,https://p.scdn.co/mp3-preview/25cb2b3bdd7c7f0bf594d32215c00ee27645f1b9?cid=24b59a67cc6e4409bac32d1f5907c5f9,YOU&I,54,37S86pw74OH8j96ZmMnrpR
iKON,https://p.scdn.co/mp3-preview/56d4b7f2e5b683cb21dc35f6331ee368ddedad1b?cid=24b59a67cc6e4409bac32d1f5907c5f9,LOVE SCENARIO,67,3d3ELsqKlQ7WA0a10Isu3l
BTS,https://p.scdn.co/mp3-preview/98e266fea9df84fa3e5ca84934c513211e89489b?cid=24b59a67cc6e4409bac32d1f5907c5f9,Dynamite,79,5QDLhrAOJJdNAmCTJ8xMyW
Hariharan,https://p.scdn.co/mp3-preview/2e8113e54ca998c34df5930bf9845959470b5971?cid=24b59a67cc6e4409bac32d1f5907c5f9,Shree Hanuman Chalisa,69,6H7fLdt0AeWpuxUKXuXWrx
Alka Yagnik,https://p.scdn.co/mp3-preview/337567e59bd647a7294a8c0afefa9ccf3e8a6d27?cid=24b59a67cc6e4409bac32d1f5907c5f9,"Agar Tum Saath Ho (From ""Tamasha"")",68,2FCXQHugkoHE1K3tiDu8pu
Jatin-Lalit,https://p.scdn.co/mp3-preview/05778b24890dafe212bebfd84eaaee694a45a2bf?cid=24b59a67cc6e4409bac32d1f5907c5f9,Chand Sifarish,68,5EYZZvmNAH5VZCwuzYJqoA
Javed-Mohsin,https://p.scdn.co/mp3-preview/7ba76ba2cf1825bf5a278b91ee3c64539b36e1bd?cid=24b59a67cc6e4409bac32d1f5907c5f9,Pal,71,5G7pZ8G8NFvS1MQ9H4L7dC
Jay Chou,,說好不哭,62,52yAKumXlqPjUsIBlmiMvo
Eason Chan,https://p.scdn.co/mp3-preview/dad366d4bfb6b1ec4f2a2853d4939e7918433bc5?cid=24b59a67cc6e4409bac32d1f5907c5f9,十年,61,25pWemriUQVrZ3yIiS2IBf
Jackson Wang,https://p.scdn.co/mp3-preview/37fceb531b06f7c475864f70f442eb35a798c9db?cid=24b59a67cc6e4409bac32d1f5907c5f9,100 Ways,58,3bdf03GVNLm9GOhjSFvdd9
G.E.M.,https://p.scdn.co/mp3-preview/592c6f2c931b8f7ca6e0bc96cee535bcc8cc8f46?cid=24b59a67cc6e4409bac32d1f5907c5f9,光年之外 (電影 《Passengers》 中國區主題曲),61,1bkvGbgK4HU8B7Ue4k7O7I
LiSA,https://p.scdn.co/mp3-preview/f76ce8208d4a829fdc8a1fa568bfbd14a6fb9b6f?cid=24b59a67cc6e4409bac32d1f5907c5f9,紅蓮華,72,0qMip0B2D4ePEjBJvAtYre
LISA,,MONEY,74,7hU3IHwjX150XLoTVmjD0q
AUTTA,https://p.scdn.co/mp3-preview/b530b7e9e2f991078ae70b557f099a2b68b039e4?cid=24b59a67cc6e4409bac32d1f5907c5f9,ชายหน้ามึน,44,5WWnuCoxm1YcKQqhzjXZg8
F.HERO,https://p.scdn.co/mp3-preview/84d6441097866628b519e33b87084d2863235394?cid=24b59a67cc6e4409bac32d1f5907c5f9,Mirror Mirror,59,59WuWdDH06AYXgdoMENEa3
Phum Viphurit,https://p.scdn.co/mp3-preview/48f5ebeb908f7710bfb604508b042392da95c99a?cid=24b59a67cc6e4409bac32d1f5907c5f9,Lover Boy,57,2rd4FH1cSaWGc0ZiUaMbX9
Amr Diab,https://p.scdn.co/mp3-preview/355c1d910a573495bb23526c03326f30248c3d4f?cid=24b59a67cc6e4409bac32d1f5907c5f9,Tamally Maak,63,6TYFcqqQVQPb3YsgfRhvqs
Mohamed Hamaki,https://p.scdn.co/mp3-preview/e0a86bd7b233165f676b7f5d44693033ce63cd5c?cid=24b59a67cc6e4409bac32d1f5907c5f9,واحدة واحدة,58,2yxWfaxD7N4PQoQ97krBoQ
Khaled,,C’est la vie,62,6KGHsN5QI0qunsADx3e51i
Babylone,https://p.scdn.co/mp3-preview/eae88c0468514261585ad7c8d1c858abb74a4685?cid=24b59a67cc6e4409bac32d1f5907c5f9,Zina,56,575HcGSWIDCThpdUgtSCzK
Saad Lamjarred,https://p.scdn.co/mp3-preview/5e42fe288fed004c52fda660cba0af1e8a61b712?cid=24b59a67cc6e4409bac32d1f5907c5f9,Guli Mata,66,3B9CL5t32mM2SDdps2IhYM
Queen,,Bohemian Rhapsody - Remastered 2011,79,4u7EnebtmKWzUH433cf5Qv
Oasis,https://p.scdn.co/mp3-preview/a983b69e865235e4874c8bb1d6b6f700bdebe5e9?cid=24b59a67cc6e4409bac32d1f5907c5f9,Wonderwall - Remastered,76,7ygpwy2qP3NbrxVkHvUhXY
The Beatles,,Here Comes The Sun - Remastered 2009,84,6dGnYIeXmHdcikdzNNDMm2
Adele,https://p.scdn.co/mp3-preview/a79d612cac9b64e900ae937234e2838a88ebc415?cid=24b59a67cc6e4409bac32d1f5907c5f9,Someone Like You,79,3bNv3VuUOKgrf5hu3YcuRo
ABBA,,Dancing Queen,84,0GjEhVFGZW8afUYGChu3Rr
Pop Smoke,,Dior,77,79s5XnCN4TJKTVMSmOx8Ep
Édith Piaf,https://p.scdn.co/mp3-preview/07662686690e3139aae114115e19c0607556d2b6?cid=24b59a67cc6e4409bac32d1f5907c5f9,La vie en rose,58,4FmiciU3ZmfgABlbCSXcWw
Stromae,,Alors on danse - Radio Edit,76,2GYHyAoLWpkxLVa4oYTVko
Aya Nakamura,https://p.scdn.co/mp3-preview/730c682fe459a496867e5023c6a4447341aad502?cid=24b59a67cc6e4409bac32d1f5907c5f9,Djadja,69,7sKDftgGirHWTVFMtJoDoh
Charles Aznavour,,La bohème,62,1WvvmEowf7hiz5EnyAwtTj
Johnny Hallyday,,Je te promets,58,3cqLrAhTy0JYcYmGe6Dvje
Serge Gainsbourg,,Je t'aime moi non plus,51,5P0tWr5JZqDoi5wq2OalFH
Nena,https://p.scdn.co/mp3-preview/c4c8b07136c8d99f1f1ba95f43162e1774e8b30c?cid=24b59a67cc6e4409bac32d1f5907c5f9,99 Luftballons,74,2IJftBfq7pJ43tfnOR0RB3
Rammstein,,Du hast,74,6XcoiOYiNbIxzpt8WRxq8Z
Helene Fischer,,Atemlos durch die Nacht,62,1cSXzDZt8vzuUp2XREQEJN
Scorpions,,Wind Of Change,77,3ovjw5HZZv43SxTwApooCM
Giacomo Puccini,,"Turandot, Act III: Nessun dorma!",47,4RqW6FZXZLUrndtWNaMGAf
Fonola Band,https://p.scdn.co/mp3-preview/a4a9e8eef790206181592864a9899b41d98da131?cid=24b59a67cc6e4409bac32d1f5907c5f9,Bella ciao,58,5XYPTwya4YqPystALy9cLJ
Domenico Modugno,https://p.scdn.co/mp3-preview/5babc01ef19597c3ddce1749119a55f8b8e9260e?cid=24b59a67cc6e4409bac32d1f5907c5f9,Nel blu dipinto di blu,51,4MviAiEvoQmei4fTICIsNv
Andrea Bocelli,,Con Te Partirò,67,7zrpoAJte9o12TzawqgdD0
Umberto Tozzi,,Ti Amo,66,0gAbf0NL9no1Urk1Wj8Uui
Roxette,https://p.scdn.co/mp3-preview/361fd8946cd20110a0267af87ef5b98ac1c6e7a9?cid=24b59a67cc6e4409bac32d1f5907c5f9,"It Must Have Been Love - From the Film ""Pretty Woman""",76,6kvoHl80mfCVTv7XnZkjQn
Avicii,,Wake Me Up,85,0nrRP2bk19rLc0orkWPQk2
Alcazar,https://p.scdn.co/mp3-preview/49e5d2ff33f43a52f38687fab710810b88ab35bf?cid=24b59a67cc6e4409bac32d1f5907c5f9,Crying at the Discoteque - Radio Edit,59,7gQAFGUyHPcY0cQNPsjMf0
a-ha,https://p.scdn.co/mp3-preview/ed66a8c444c35b2f5029c04ae8e18f69d952c2bb?cid=24b59a67cc6e4409bac32d1f5907c5f9,Take on Me,86,2WfaOiMkCvy7F5fcp2zZ8L
Loreen,,Tattoo,81,1DmW5Ep6ywYwxc2HMT5BG6
Peter Bjorn and John,,Young Folks,76,4dyx5SzxPPaD8xQIid5Wjj
Frans,https://p.scdn.co/mp3-preview/ff3973af3878c9a1048bd69a9eca06f5ed5e946d?cid=24b59a67cc6e4409bac32d1f5907c5f9,If I Were Sorry,49,6oDkCmfVcSd9NXAKk1b4Ll
Robyn,,Dancing On My Own,61,6aqNCrRA7vs7v6QvRpI50t
Ritchie Valens,https://p.scdn.co/mp3-preview/b460e782da73afa26d3882db0cfb052e7cfe9947?cid=24b59a67cc6e4409bac32d1f5907c5f9,La Bamba - Single Version,66,2aEeghgUcnu75tzcolFMfs
Enrique Iglesias,,Bailando - Spanish Version,54,4wPRYDnqrxt3Duqhf7bbcR
Ricky Martin,https://p.scdn.co/mp3-preview/efdd213308e7efa3d4e2f883cda1b2a059ab32a3?cid=24b59a67cc6e4409bac32d1f5907c5f9,Livin' la Vida Loca,75,0Ph6L4l8dYUuXFmb71Ajnd
Los Del Rio,https://p.scdn.co/mp3-preview/f550ad3b7dc62fa6eeb0ff7d965ec61b697144aa?cid=24b59a67cc6e4409bac32d1f5907c5f9,Macarena,53,4Y6cDd4EPHcEbiUKdyvNwM
La Quinta Estacion,https://p.scdn.co/mp3-preview/3829c17a7890155b43266bc3097cdddd8099a511?cid=24b59a67cc6e4409bac32d1f5907c5f9,El Sol No Regresa,78,2awKQgW88iq9jFM54VaCAp
Les Balalaïkas des Tziganes Russes,https://p.scdn.co/mp3-preview/b94ad2d69b63880c861ce7261639730dcc3a2ac1?cid=24b59a67cc6e4409bac32d1f5907c5f9,Kalinka,9,53I6rVlaBIFYbAsckbvpnv
t.A.T.u.,,All The Things She Said,74,4bJygwUKrRgq1stlNXcgMg
Pyotr Ilyich Tchaikovsky,https://p.scdn.co/mp3-preview/a1fbfa63beffdd711a0e4689b5fe1cd77c771fc1?cid=24b59a67cc6e4409bac32d1f5907c5f9,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",66,2xizRhme7pYeITbH1NLLGt
2Baba,https://p.scdn.co/mp3-preview/6c3cf8aae8e5e9a953356b2480a00e6b7ffb6574?cid=24b59a67cc6e4409bac32d1f5907c5f9,African Queen,44,4hM9jLSD1lgswviJTkHsPP
Davido,https://p.scdn.co/mp3-preview/f4b21794b26cd51251d3f537eeb0c3d8b6d8a811?cid=24b59a67cc6e4409bac32d1f5907c5f9,UNAVAILABLE (feat. Musa Keys),72,2kaH2Z8ezDUKf6fNw250rZ
P-Square,https://p.scdn.co/mp3-preview/5dd5cfdfe95429bbcf8644769bcf5519bd5441f3?cid=24b59a67cc6e4409bac32d1f5907c5f9,Alingo,43,0olkSmk3agbgEkeZYiMrsU
Wande Coal,https://p.scdn.co/mp3-preview/e248e487570a660ea5332f6d625f02bb23c592e3?cid=24b59a67cc6e4409bac32d1f5907c5f9,Iskaba,60,1GuLgNKd4lrI1vugkxMCAX
Rema,,Calm Down,72,6hgoYQDUcPyCz7LcTUHKxa
Burna Boy,https://p.scdn.co/mp3-preview/2424ab80f615e8dab8667ce4a30bbba09701d647?cid=24b59a67cc6e4409bac32d1f5907c5f9,Last Last,67,57DarSfRMIVRCeDBGW0l5S
CKay,https://p.scdn.co/mp3-preview/66fcd4a3341836530e964de7f24d9198610f537b?cid=24b59a67cc6e4409bac32d1f5907c5f9,love nwantiti (ah ah ah),75,2Xr1dTzJee307rmrkt8c0g
Wizkid,https://p.scdn.co/mp3-preview/c7edc433128dc4fa1853e94e61b7cdd0629c9714?cid=24b59a67cc6e4409bac32d1f5907c5f9,Joro,63,3Yt1ovsh3v3VEzRuhI1TL5
Miriam Makeba,https://p.scdn.co/mp3-preview/97b65bb34775473b3385889f8d422bf085bdbbac?cid=24b59a67cc6e4409bac32d1f5907c5f9,Pata Pata - Stereo Version,58,1BLXxFPDL2BT37nHKD7KrA
Master KG,https://p.scdn.co/mp3-preview/5faf9f944f782010fac00d017cfbb34139044264?cid=24b59a67cc6e4409bac32d1f5907c5f9,Jerusalema (feat. Nomcebo Zikode),69,2MlOUXmcofMackX3bxfSwi
Brenda Fassie,,Vuli Ndlela,42,68RV0HNYnbkrztSe9sBZ1W
Major Lazer,https://p.scdn.co/mp3-preview/b1f198774dbdf3fbe54ad4b95143cb7d3000d14a?cid=24b59a67cc6e4409bac32d1f5907c5f9,Particula,46,2dIiGOrFEcADygUXWSsbzb
Fally Ipupa,https://p.scdn.co/mp3-preview/8930c0d595d21446e7f65ac8c5ddc483800e0231?cid=24b59a67cc6e4409bac32d1f5907c5f9,Eloko Oyo,31,11FFfWfPcJJbh8UCVziisB
Papa Wemba,https://p.scdn.co/mp3-preview/ac4bd0687a75a10ae83f3b6bdc344cca29d5d2b2?cid=24b59a67cc6e4409bac32d1f5907c5f9,Yolele,37,4pkk2GgNZIWhqQpz39439P
Koffi Olomide,https://p.scdn.co/mp3-preview/4f1c5b16ab563566e40898d610eff4e7aa713fb5?cid=24b59a67cc6e4409bac32d1f5907c5f9,Loi,45,3ERMjh3EfOWWoLJjcxtpvt
Extra Musica,https://p.scdn.co/mp3-preview/e06bb53d264292ba06021fe4ae9c7dd32631411b?cid=24b59a67cc6e4409bac32d1f5907c5f9,Etat-Major,35,4GlrZSdVVpK91t1kmNT6pH
Grand Kalle,,Indépendance Cha Cha,27,3kVN8ze4Nfh3nfa8ZUxfpH
Fabregas le Métis Noir,https://p.scdn.co/mp3-preview/190ace8ba7aa3bc998aeeed12858cf3a5ae55285?cid=24b59a67cc6e4409bac32d1f5907c5f9,Mascara,33,228NeGtv9uNx6W8dCzxOWF
Innoss'B,https://p.scdn.co/mp3-preview/695a6851c8594355ffb6570dd23479e065f0c297?cid=24b59a67cc6e4409bac32d1f5907c5f9,Yo pe,40,0IbG8PKeKh6ilyR0Y6724T
Magic System,https://p.scdn.co/mp3-preview/7e8ef17e236d5e450f19f877cea3f2d40dedb397?cid=24b59a67cc6e4409bac32d1f5907c5f9,1er Gaou,57,6eqqWm2LkDweTHhz1u5KKo
DJ Arafat,https://p.scdn.co/mp3-preview/65666c6921e47dec997dd32f96396cea5af21edc?cid=24b59a67cc6e4409bac32d1f5907c5f9,Jonathan,37,357KJCSLizF1KF1tHYrU8R
Meiway,https://p.scdn.co/mp3-preview/07c0b88a1089e849d6cedb9d3f6aaf94e4ac69c7?cid=24b59a67cc6e4409bac32d1f5907c5f9,DJ Tassouman,36,0dXj0ElzCffNqVzYn9I7qF
Josey,https://p.scdn.co/mp3-preview/e9f4db82d8e4d3aa60c8836c12a9dcc8d4d9980b?cid=24b59a67cc6e4409bac32d1f5907c5f9,Diplôme,36,2Y2VWLvZF5MrKzX4u1npBB
Didi B,,En Haut,48,6BovZi5xW96aWgGZVmToRe
